dataset	type	accession
Bacteria	assembly	GCA_003812805.1
Bacteria	assembly	GCA_008693885.1
Bacteria	assembly	GCA_013267515.1
Bacteria	assembly	GCA_016027575.1
Bacteria	assembly	GCA_016127595.1
Bacteria	assembly	GCA_016725945.1
Bacteria	assembly	GCA_016889185.1
Bacteria	assembly	GCA_016903595.1
Bacteria	assembly	GCA_019047085.1
Bacteria	assembly	GCA_019930665.1
Bacteria	assembly	GCA_020735605.1
Bacteria	assembly	GCA_000784015.2
Bacteria	assembly	GCA_002073335.2
Bacteria	assembly	GCA_002386325.1
Bacteria	assembly	GCA_002984285.1
Bacteria	assembly	GCA_003812825.1
Bacteria	assembly	GCA_008693905.1
Bacteria	assembly	GCA_013267535.1
Bacteria	assembly	GCA_016027595.1
Bacteria	assembly	GCA_016127615.1
Bacteria	assembly	GCA_016726045.1
Bacteria	assembly	GCA_016889205.1
Bacteria	assembly	GCA_016903615.1
Bacteria	assembly	GCA_019047105.1
Bacteria	assembly	GCA_019930685.1
Bacteria	assembly	GCA_020735625.1
Bacteria	assembly	GCA_001018645.2
Bacteria	assembly	GCA_002073355.2
Bacteria	assembly	GCA_002386345.1
Bacteria	assembly	GCA_002984395.1
Bacteria	assembly	GCA_003812845.1
Bacteria	assembly	GCA_008693925.1
Bacteria	assembly	GCA_013267555.1
Bacteria	assembly	GCA_016027615.1
Bacteria	assembly	GCA_016127635.1
Bacteria	assembly	GCA_016726205.1
Bacteria	assembly	GCA_016889225.1
Bacteria	assembly	GCA_016903715.1
Bacteria	assembly	GCA_019047125.1
Bacteria	assembly	GCA_019930705.1
Bacteria	assembly	GCA_020735645.1
Bacteria	assembly	GCA_001018655.2
Bacteria	assembly	GCA_002073375.2
Bacteria	assembly	GCA_002386365.1
Bacteria	assembly	GCA_002984485.1
Bacteria	assembly	GCA_003812865.1
Bacteria	assembly	GCA_008693945.1
Bacteria	assembly	GCA_013267575.1
Bacteria	assembly	GCA_016027675.1
Bacteria	assembly	GCA_016127655.1
Bacteria	assembly	GCA_016726245.1
Bacteria	assembly	GCA_016889245.1
Bacteria	assembly	GCA_016903735.1
Bacteria	assembly	GCA_019047145.1
Bacteria	assembly	GCA_019930725.1
Bacteria	assembly	GCA_020735665.1
Bacteria	assembly	GCA_001018685.2
Bacteria	assembly	GCA_002073395.2
Bacteria	assembly	GCA_002386385.1
Bacteria	assembly	GCA_002984565.1
Bacteria	assembly	GCA_003812885.1
Bacteria	assembly	GCA_008693965.1
Bacteria	assembly	GCA_013267595.1
Bacteria	assembly	GCA_016027695.1
Bacteria	assembly	GCA_016127675.1
Bacteria	assembly	GCA_016726265.1
Bacteria	assembly	GCA_016889265.1
Bacteria	assembly	GCA_016903755.1
Bacteria	assembly	GCA_019047165.1
Bacteria	assembly	GCA_019930745.1
Bacteria	assembly	GCA_020735685.1
Bacteria	assembly	GCA_001018725.2
Bacteria	assembly	GCA_002073415.2
Bacteria	assembly	GCA_002393245.1
Bacteria	assembly	GCA_003019925.1
